7350
(-1.650000, -1.250000, 1.565825) (-1.650000, -1.250000, 1.565825) (0.000000, 1.000000) 
(-1.550000, -1.250000, 1.470926) (-1.650000, -1.250000, 1.470926) (0.000000, 1.000000) 
(-1.650000, -1.150000, 1.506060) (-1.650000, -1.250000, 1.506060) (0.000000, 1.000000) 
(-1.650000, -1.150000, 1.506060) (-1.650000, -1.250000, 1.506060) (0.000000, 1.000000) 
(-1.550000, -1.250000, 1.470926) (-1.650000, -1.250000, 1.470926) (0.000000, 1.000000) 
(-1.550000, -1.150000, 1.414784) (-1.650000, -1.250000, 1.414784) (0.000000, 1.000000) 
(-1.650000, -1.150000, 1.506060) (-1.650000, -1.150000, 1.506060) (0.000000, 1.000000) 
(-1.550000, -1.150000, 1.414784) (-1.650000, -1.150000, 1.414784) (0.000000, 1.000000) 
(-1.650000, -1.050000, 1.431248) (-1.650000, -1.150000, 1.431248) (0.000000, 1.000000) 
(-1.650000, -1.050000, 1.431248) (-1.650000, -1.150000, 1.431248) (0.000000, 1.000000) 
(-1.550000, -1.150000, 1.414784) (-1.650000, -1.150000, 1.414784) (0.000000, 1.000000) 
(-1.550000, -1.050000, 1.344506) (-1.650000, -1.150000, 1.344506) (0.000000, 1.000000) 
(-1.650000, -1.050000, 1.431248) (-1.650000, -1.050000, 1.431248) (0.000000, 1.000000) 
(-1.550000, -1.050000, 1.344506) (-1.650000, -1.050000, 1.344506) (0.000000, 1.000000) 
(-1.650000, -0.950000, 1.342135) (-1.650000, -1.050000, 1.342135) (0.000000, 1.000000) 
(-1.650000, -0.950000, 1.342135) (-1.650000, -1.050000, 1.342135) (0.000000, 1.000000) 
(-1.550000, -1.050000, 1.344506) (-1.650000, -1.050000, 1.344506) (0.000000, 1.000000) 
(-1.550000, -0.950000, 1.260794) (-1.650000, -1.050000, 1.260794) (0.000000, 1.000000) 
(-1.650000, -0.950000, 1.342135) (-1.650000, -0.950000, 1.342135) (0.000000, 1.000000) 
(-1.550000, -0.950000, 1.260794) (-1.650000, -0.950000, 1.260794) (0.000000, 1.000000) 
(-1.650000, -0.850000, 1.239612) (-1.650000, -0.950000, 1.239612) (0.000000, 1.000000) 
(-1.650000, -0.850000, 1.239612) (-1.650000, -0.950000, 1.239612) (0.000000, 1.000000) 
(-1.550000, -0.950000, 1.260794) (-1.650000, -0.950000, 1.260794) (0.000000, 1.000000) 
(-1.550000, -0.850000, 1.164484) (-1.650000, -0.950000, 1.164484) (0.000000, 1.000000) 
(-1.650000, -0.850000, 1.239612) (-1.650000, -0.850000, 1.239612) (0.000000, 1.000000) 
(-1.550000, -0.850000, 1.164484) (-1.650000, -0.850000, 1.164484) (0.000000, 1.000000) 
(-1.650000, -0.750000, 1.124704) (-1.650000, -0.850000, 1.124704) (0.000000, 1.000000) 
(-1.650000, -0.750000, 1.124704) (-1.650000, -0.850000, 1.124704) (0.000000, 1.000000) 
